STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SINDEX	SMODINDX	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	1	1	1	4822023	4778200	54604	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	2	1	3	4822023	4778200	187467	14	14	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	3	1	5	4822023	4778200	25566	6	4	97.0113	0	0	0	0	0	0	0	0	0	0
9999	1	8	4	1	7	4822023	4778200	22857	5	6	94.4853	0	0	0	0	0	0	0	0	0	0
9999	1	8	5	1	9	4822023	4778200	57909	6	6	98.6338	0	0	0	0	0	0	0	0	0	0
9999	1	8	6	1	11	4822023	4778200	10584	2	2	57.5822	0	0	0	0	0	0	0	0	0	0
9999	1	8	7	1	13	4822023	4778200	20733	4	4	97.6483	0	0	0	0	0	0	0	0	0	0
9999	1	8	8	1	15	4822023	4778200	118270	8	10	99.5075	0	0	0	0	0	0	0	0	0	0
9999	1	8	9	1	17	4822023	4778200	34075	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	10	1	19	4822023	4778200	26162	4	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	11	1	21	4822023	4778200	44071	5	6	99.8366	0	0	0	0	0	0	0	0	0	0
9999	1	8	12	1	23	4822023	4778200	13000	4	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	13	1	25	4822023	4778200	25447	5	4	97.2472	0	0	0	0	0	0	0	0	0	0
9999	1	8	14	1	27	4822023	4778200	13918	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	15	1	29	4822023	4778200	14895	3	3	86.7517	0	0	0	0	0	0	0	0	0	0
9999	1	8	16	1	31	4822023	4778200	50729	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	17	1	33	4822023	4778200	54731	8	7	97.9643	0	0	0	0	0	0	0	0	0	0
9999	1	8	18	1	35	4822023	4778200	13158	4	5	95.2171	0	0	0	0	0	0	0	0	0	0
9999	1	8	19	1	37	4822023	4778200	8928	3	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	20	1	39	4822023	4778200	38211	9	9	93.1355	0	0	0	0	0	0	0	0	0	0
9999	1	8	21	1	41	4822023	4778200	13448	5	3	93.9694	0	0	0	0	0	0	0	0	0	0
9999	1	8	22	1	43	4822023	4778200	80859	3	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	23	1	45	4822023	4778200	50245	10	12	98.9775	0	0	0	0	0	0	0	0	0	0
9999	1	8	24	1	47	4822023	4778200	43506	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	25	1	49	4822023	4778200	71662	14	14	98.353	0	0	0	0	0	0	0	0	0	0
9999	1	8	26	1	51	4822023	4778200	80484	7	8	99.6136	0	0	0	0	0	0	0	0	0	0
9999	1	8	27	1	53	4822023	4778200	38248	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	28	1	55	4822023	4778200	97544	10	8	99.2824	0	0	0	0	0	0	0	0	0	0
9999	1	8	29	1	57	4822023	4778200	17251	3	4	95.009	0	0	0	0	0	0	0	0	0	0
9999	1	8	30	1	59	4822023	4778200	32012	5	5	98.7906	0	0	0	0	0	0	0	0	0	0
9999	1	8	31	1	61	4822023	4778200	26889	5	6	99.9957	0	0	0	0	0	0	0	0	0	0
9999	1	8	32	1	63	4822023	4778200	8315	3	2	94.5801	0	0	0	0	0	0	0	0	0	0
9999	1	8	33	1	65	4822023	4778200	15483	3	3	88.1176	0	0	0	0	0	0	0	0	0	0
9999	1	8	34	1	67	4822023	4778200	17482	4	5	96.8882	0	0	0	0	0	0	0	0	0	0
