STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	2	2	1	1	1	52947	3	1	92.4317	1446	310	45	265	0	2	6	37	38	201	17	8	233	31	121	3	16	18	2	1	13	111	21	12	1	0	8	90	38	44	5	3	0	0	0	0	16	157	38	45	27	0	305	0	0	0
9999	2	2	2	1	3	179363	13	0	51.2602	9446	876	181	695	10	18	28	125	100	568	25	3	1044	69	346	1	90	86	40	1	35	559	98	12	30	2	53	462	107	268	55	33	0	0	0	0	67	1134	386	849	113	16	3732	0	0	0
9999	2	2	3	1	5	29470	6	0	100	929	169	45	124	0	5	12	28	39	77	8	0	127	39	10	0	4	7	3	0	3	112	15	0	15	0	0	97	61	36	0	0	6	0	0	6	3	76	35	23	20	0	292	0	0	0
9999	2	2	4	1	7	21793	5	1	100	1116	113	21	92	1	2	4	14	20	69	3	0	131	11	117	2	9	13	4	0	9	35	8	2	3	0	3	27	9	10	2	6	0	0	0	0	35	82	37	28	23	0	467	0	0	0
9999	2	2	5	1	9	58440	6	0	91.4786	1473	213	38	175	1	3	5	29	44	131	0	0	167	12	172	0	15	9	3	0	4	132	35	0	1	11	23	97	0	24	25	48	0	0	0	0	12	107	45	54	14	0	512	0	0	0
9999	2	2	6	1	11	10758	2	0	100	218	53	18	35	1	1	1	15	12	22	1	0	45	2	2	0	2	6	1	2	2	10	3	0	0	0	3	7	0	4	0	3	0	0	0	0	1	35	3	10	13	0	31	0	0	0
9999	2	2	7	1	13	20049	4	1	100	1293	147	51	96	1	4	4	42	24	68	2	2	205	4	70	0	15	26	13	0	3	35	5	0	2	0	3	30	5	18	7	0	0	0	0	0	19	71	43	23	46	0	573	0	0	0
9999	2	2	8	1	15	116752	8	1	100	6754	1176	221	955	2	10	56	153	181	725	45	4	858	83	561	14	97	86	53	0	15	409	68	12	8	3	45	341	32	98	184	27	0	0	0	0	6	486	151	97	95	0	2567	0	0	0
9999	2	2	9	1	17	34345	4	0	87.7872	1470	248	70	178	2	3	19	47	40	119	14	5	229	23	19	2	25	27	19	1	9	124	37	6	4	4	22	87	18	44	11	13	0	0	0	0	5	137	23	24	35	0	519	0	0	0
9999	2	2	10	1	19	24702	4	1	98.8118	395	35	21	14	0	0	0	21	1	11	2	0	38	5	21	3	2	9	2	0	1	57	19	4	3	0	12	38	3	8	3	24	0	0	0	0	3	27	16	11	11	0	153	0	0	0
