STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	1	1	1	52947	51369	3	4	93.9026	210	1279	0	17	32	161	190	989	100	0
9999	2	4	2	1	3	179363	179363	13	13	99.4552	389	4240	8	42	78	260	807	3283	150	1
9999	2	4	3	1	5	29470	29470	6	6	100	60	709	0	10	12	38	135	550	24	0
9999	2	4	4	1	7	21793	21925	5	6	100	55	312	1	3	3	48	91	202	19	0
9999	2	4	5	1	9	58440	57929	6	5	92.2855	59	1251	0	11	10	38	370	861	20	0
9999	2	4	6	1	11	10758	10758	2	2	100	47	247	2	0	6	39	101	142	4	0
9999	2	4	7	1	13	20049	20047	4	4	100	87	542	0	7	6	74	161	362	19	0
9999	2	4	8	1	15	116752	114155	8	10	100	829	5466	6	63	172	588	1832	3365	269	10
9999	2	4	9	1	17	34345	34345	4	4	87.7872	214	1263	0	8	23	182	265	921	76	0
9999	2	4	10	1	19	24702	24710	4	5	98.8122	74	284	0	3	0	71	61	206	17	0
9999	2	4	11	1	21	42616	42940	5	6	99.7485	523	1325	0	27	16	480	322	975	28	3
9999	2	4	12	1	23	13930	13614	4	3	100	14	71	0	0	1	13	31	38	2	0
9999	2	4	13	1	25	26256	26256	5	5	100	139	413	3	12	6	118	157	228	28	0
9999	2	4	14	1	27	13820	13820	3	3	91.3664	47	189	0	2	1	44	56	124	8	0
9999	2	4	15	1	29	14939	14939	3	3	98.0013	46	394	2	5	2	37	118	247	29	0
9999	2	4	16	1	31	48705	48460	5	5	100	136	783	3	18	24	91	278	452	53	0
9999	2	4	17	1	33	54865	54865	7	7	93.532	251	1791	0	11	34	205	410	1333	48	0
9999	2	4	18	1	35	13017	12466	3	3	79.3037	64	219	1	3	8	52	37	176	6	0
9999	2	4	19	1	37	10751	10751	3	3	100	22	324	1	0	6	15	133	177	14	0
9999	2	4	20	1	39	36950	36950	8	8	100	148	902	7	15	10	116	166	713	23	1
9999	2	4	21	1	41	13822	13628	5	4	100	36	296	0	3	4	29	82	195	19	0
9999	2	4	22	1	43	82093	82113	3	4	99.6452	146	1969	3	16	6	121	428	1454	87	0
9999	2	4	23	1	45	47155	47052	10	10	100	225	1164	5	29	29	162	334	786	44	3
9999	2	4	24	1	47	42701	42701	2	2	89.0641	358	2472	7	23	72	256	715	1597	160	0
9999	2	4	25	1	49	69275	69267	13	13	86.0255	109	1530	2	20	8	79	468	975	87	0
9999	2	4	26	1	51	79932	79905	6	7	94.7704	143	1895	6	18	27	92	523	1318	54	0
9999	2	4	27	1	53	37555	37555	5	5	85.1147	200	1002	5	15	11	169	232	734	36	2
9999	2	4	28	1	55	103171	103760	8	9	100	367	3734	3	57	113	194	868	2660	206	14
9999	2	4	29	1	57	16862	17686	3	4	100	22	254	0	5	1	16	41	188	25	0
9999	2	4	30	1	59	30893	30893	4	4	92.7872	54	560	1	6	13	35	160	381	19	0
9999	2	4	31	1	61	25996	26007	5	6	100	108	334	0	3	2	103	67	247	20	0
9999	2	4	32	1	63	9131	8543	3	2	80.7513	81	426	1	0	8	72	217	179	30	13
9999	2	4	33	1	65	18655	18211	3	3	97.6699	109	452	2	1	15	91	161	262	29	0
9999	2	4	34	1	67	16679	16691	4	5	100	61	299	1	4	3	53	101	179	19	0
9999	2	4	35	1	69	101097	73125	8	5	100	537	3300	1	32	165	339	832	2326	142	0
9999	2	4	36	1	71	53271	52521	9	8	100	155	1057	3	12	10	130	164	827	66	3
9999	2	4	37	1	73	685559	636475	26	25	98.8233	4717	39424	93	316	1994	2314	11172	25312	2940	172
9999	2	4	38	1	75	14189	13190	4	3	100	8	45	0	0	0	8	6	35	4	0
9999	2	4	39	1	77	89652	89652	7	7	100	181	2648	6	23	56	96	789	1773	86	7
9999	2	4	40	1	79	34242	34242	6	6	100	135	544	1	3	3	128	107	414	23	0
9999	2	4	41	1	81	133019	135710	3	5	100	433	5831	9	55	148	221	1760	3929	142	8
9999	2	4	42	1	83	75408	77711	3	6	100	89	1555	2	13	31	43	367	1105	83	2
9999	2	4	43	1	85	12610	12610	4	4	100	61	434	2	2	9	48	231	198	5	0
9999	2	4	44	1	87	22227	22198	4	4	78.0814	243	1080	6	4	18	215	348	659	73	0
9999	2	4	45	1	89	327983	325950	11	10	99.8043	1548	13017	19	115	520	894	3474	8432	1111	30
9999	2	4	46	1	91	20986	20857	4	3	100	123	584	1	7	19	96	122	434	28	0
9999	2	4	47	1	93	30191	29413	7	8	99.987	49	447	0	2	3	44	90	328	29	1
9999	2	4	48	1	95	90374	89592	8	8	99.2571	284	3429	7	28	39	210	838	2418	173	4
9999	2	4	49	1	97	408816	408816	12	12	95.5202	2962	20060	36	64	1211	1651	5870	12594	1596	103
9999	2	4	50	1	99	22468	22468	4	4	97.6559	114	549	3	3	14	94	131	387	31	3
9999	2	4	51	1	101	225964	225964	10	4	100	959	11897	31	91	466	371	3347	7603	947	43
9999	2	4	52	1	103	117288	117018	7	7	94.1919	267	4273	1	32	83	151	1071	3072	130	0
9999	2	4	53	1	105	10569	10569	3	3	100	49	326	0	1	3	45	108	189	29	0
9999	2	4	54	1	107	19463	19463	7	7	100	50	229	0	3	8	39	112	108	9	0
9999	2	4	55	1	109	30589	30589	4	4	100	98	1167	0	11	47	40	349	774	44	1
9999	2	4	56	1	111	22743	22095	4	3	97.4727	59	475	0	3	1	54	107	352	16	0
9999	2	4	57	1	113	53486	50824	3	3	100	259	1925	2	14	84	159	748	1002	175	0
9999	2	4	58	1	115	80135	82038	10	12	99.066	171	1834	5	14	16	136	423	1311	101	0
9999	2	4	59	1	117	172981	194195	9	13	97.6361	244	3655	3	37	61	143	840	2628	188	1
9999	2	4	60	1	119	13169	5474	5	3	90.8872	54	256	0	2	12	39	79	162	15	0
9999	2	4	61	1	121	77857	80627	5	6	100	319	3819	6	42	63	208	1193	2401	225	2
9999	2	4	62	1	123	39244	40592	6	6	99.6705	247	1266	2	12	41	192	281	925	59	2
9999	2	4	63	1	125	181601	181913	6	7	99.4347	799	8641	11	59	259	470	2467	5694	480	17
9999	2	4	64	1	127	69089	69087	9	9	98.7745	169	2689	2	21	48	99	447	2062	181	8
9999	2	4	65	1	129	17182	17182	4	4	100	40	152	0	5	0	35	34	105	13	0
9999	2	4	66	1	131	12841	12841	3	3	100	40	167	1	0	1	38	69	84	14	0
9999	2	4	67	1	133	24027	23981	5	5	98.6177	45	550	0	6	1	37	126	401	22	0
9999	2	4	68	1	777	0	0	1	1	100	14	91	0	2	4	8	13	71	7	0
9999	2	4	69	2	13	996	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	4	70	2	16	3867	3867	2	2	100	12	52	0	1	0	11	11	37	4	0
9999	2	4	71	2	20	283300	283300	3	3	100	2499	10520	14	282	535	1668	1619	8022	879	111
9999	2	4	72	2	50	6584	6584	1	1	100	52	161	1	8	3	40	50	43	68	3
9999	2	4	73	2	60	933	933	1	1	100	7	43	0	0	2	5	11	18	14	1
9999	2	4	74	2	70	3276	2465	2	1	100	35	54	0	12	1	22	2	39	13	0
9999	2	4	75	2	90	38034	38034	4	4	100	286	1595	0	62	47	177	208	1284	103	13
