STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	2	8	1	1	1	4708708	4642126	51369	3	4	93.9026	0	0	0	0	0	0	0	0	0	0
9999	2	8	2	1	3	4708708	4642126	179363	13	13	99.4552	0	0	0	0	0	0	0	0	0	0
9999	2	8	3	1	5	4708708	4642126	29470	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	4	1	7	4708708	4642126	21925	5	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	5	1	9	4708708	4642126	57929	6	5	92.2855	0	0	0	0	0	0	0	0	0	0
9999	2	8	6	1	11	4708708	4642126	10758	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	7	1	13	4708708	4642126	20047	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	8	1	15	4708708	4642126	114155	8	10	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	9	1	17	4708708	4642126	34345	4	4	87.7872	0	0	0	0	0	0	0	0	0	0
9999	2	8	10	1	19	4708708	4642126	24710	4	5	98.8122	0	0	0	0	0	0	0	0	0	0
9999	2	8	11	1	21	4708708	4642126	42940	5	6	99.7485	0	0	0	0	0	0	0	0	0	0
9999	2	8	12	1	23	4708708	4642126	13614	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	13	1	25	4708708	4642126	26256	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	14	1	27	4708708	4642126	13820	3	3	91.3664	0	0	0	0	0	0	0	0	0	0
9999	2	8	15	1	29	4708708	4642126	14939	3	3	98.0013	0	0	0	0	0	0	0	0	0	0
9999	2	8	16	1	31	4708708	4642126	48460	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	17	1	33	4708708	4642126	54865	7	7	93.532	0	0	0	0	0	0	0	0	0	0
9999	2	8	18	1	35	4708708	4642126	12466	3	3	79.3037	0	0	0	0	0	0	0	0	0	0
9999	2	8	19	1	37	4708708	4642126	10751	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	20	1	39	4708708	4642126	36950	8	8	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	21	1	41	4708708	4642126	13628	5	4	100	0	0	0	0	0	0	0	0	0	0
