,COUNTY,STATE,Crime_Count,Crime_rate,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Age
0,Autauga,Alabama,2978,5797.270727,24703.0,22301.0,2402.0,9.7,75.53468979
1,Baldwin,Alabama,9258,5161.599661,82451.0,74403.0,8048.0,9.8,77.64190155
2,Barbour,Alabama,1538,5218.866644,10003.0,8572.0,1431.0,14.3,75.01160144
3,Bibb,Alabama,734,3347.776511,8742.0,7581.0,1161.0,13.3,73.94638269
4,Blount,Alabama,2620,4522.777883,26480.0,23832.0,2648.0,10.0,76.19698034
5,Bullock,Alabama,588,5465.699944,3739.0,3156.0,583.0,15.6,73.37820613
6,Butler,Alabama,1258,6275.2531549999985,9104.0,7615.0,1489.0,16.4,73.53572961
7,Calhoun,Alabama,12600,11037.62428,53925.0,47929.0,5996.0,11.1,73.94425187
8,Chambers,Alabama,2952,8595.137575,14650.0,11777.0,2873.0,19.6,73.86396764
9,Cherokee,Alabama,716,2897.612303000001,11758.0,10384.0,1374.0,11.7,75.06415468
10,Chilton,Alabama,3699,8614.345599,19445.0,17375.0,2070.0,10.6,74.32897874
11,Choctaw,Alabama,170,1248.714559,5134.0,4442.0,692.0,13.5,74.88173269
12,Clarke,Alabama,1104,4204.753199,10381.0,8664.0,1717.0,16.5,75.07194866
13,Clay,Alabama,471,3408.104197,5643.0,4703.0,940.0,16.7,74.86766678
14,Cleburne,Alabama,880,5890.621862,6514.0,5851.0,663.0,10.2,74.29133172
15,Coffee,Alabama,1838,3792.81882,21436.0,19612.0,1824.0,8.5,76.32603216
16,Colbert,Alabama,4083,7441.902851999998,25414.0,22461.0,2953.0,11.6,75.26198690000001
17,Conecuh,Alabama,566,4540.349751,4908.0,3930.0,978.0,19.9,73.83639283
18,Coosa,Alabama,692,6436.610548,4593.0,3856.0,737.0,16.0,75.13408981
19,Covington,Alabama,2101,5686.062246,16719.0,14912.0,1807.0,10.8,75.11184763
20,Crenshaw,Alabama,664,4872.321690999999,6439.0,5768.0,671.0,10.4,74.18613768
21,Cullman,Alabama,4230,5151.437653,38537.0,34585.0,3952.0,10.3,75.22678383
22,Dale,Alabama,2781,5910.48202,20033.0,18100.0,1933.0,9.6,75.88800422
23,Dallas,Alabama,5660,13254.9589,15868.0,12516.0,3352.0,21.1,72.15485373
24,De Kalb,Alabama,3278,4732.41226,,,,,
25,Elmore,Alabama,4076,5101.057506,36392.0,32944.0,3448.0,9.5,75.84782592
26,Escambia,Alabama,2406,6406.603647999998,14762.0,12770.0,1992.0,13.5,74.0382474
27,Etowah,Alabama,8216,7918.272937999999,44993.0,39838.0,5155.0,11.5,73.45328426
28,Fayette,Alabama,552,3121.112745,6971.0,5993.0,978.0,14.0,74.14127412
29,Franklin,Alabama,1229,3978.247499,13240.0,11463.0,1777.0,13.4,73.45497742
30,Geneva,Alabama,884,3399.084862,11173.0,9970.0,1203.0,10.8,75.42333286
31,Greene,Alabama,1027,12021.5381,3131.0,2653.0,478.0,15.3,73.79693267
32,Hale,Alabama,1122,6161.111416,6869.0,5890.0,979.0,14.3,73.83013277
33,Henry,Alabama,720,4313.701995,7132.0,6334.0,798.0,11.2,75.53009291
34,Houston,Alabama,7674,10494.35897,45903.0,41638.0,4265.0,9.3,76.39751552
35,Jackson,Alabama,2427,4621.008739,26370.0,23005.0,3365.0,12.8,74.16418451
36,Jefferson,Alabama,88454,13897.48223,307018.0,274011.0,33007.0,10.8,74.83030219
37,Lamar,Alabama,106,803.6391205,5546.0,4658.0,888.0,16.0,74.72864408
38,Lauderdale,Alabama,5665,6318.877437,43432.0,38804.0,4628.0,10.7,76.46028842
39,Lawrence,Alabama,1358,3965.889843,15788.0,13635.0,2153.0,13.6,74.37802199
40,Lee,Alabama,12536,9237.344337,64893.0,58787.0,6106.0,9.4,76.83404269
41,Limestone,Alabama,3290,4233.634878,38288.0,34543.0,3745.0,9.8,76.94866708
42,Lowndes,Alabama,990,7850.911975,4921.0,3970.0,951.0,19.3,72.5377407
43,Macon,Alabama,2646,11919.99279,9345.0,8203.0,1142.0,12.2,72.52001716
44,Madison,Alabama,29160,8946.157386,168887.0,155310.0,13577.0,8.0,77.65985713
45,Marengo,Alabama,1414,6779.498490000001,8101.0,6950.0,1151.0,14.2,74.44623506
46,Marion,Alabama,993,3376.058206,12361.0,10311.0,2050.0,16.6,74.55772128
47,Marshall,Alabama,7430,8293.151173999999,40743.0,36604.0,4139.0,10.2,74.28797894
48,Mobile,Alabama,46147,11287.96329,186825.0,165725.0,21100.0,11.3,74.58457896
49,Monroe,Alabama,1329,5915.079224,8666.0,6978.0,1688.0,19.5,74.76794091
50,Montgomery,Alabama,25755,11397.83328,105106.0,94078.0,11028.0,10.5,75.53875629
51,Morgan,Alabama,9080,7759.489993000001,56388.0,50294.0,6094.0,10.8,76.05365825
52,Perry,Alabama,750,7096.224808,3770.0,3021.0,749.0,19.9,72.4611908
53,Pickens,Alabama,558,2866.978369,8042.0,6942.0,1100.0,13.7,74.42962234
54,Pike,Alabama,2531,8274.216222,15803.0,14300.0,1503.0,9.5,74.64953443
55,Randolph,Alabama,1067,4829.146866,9415.0,8014.0,1401.0,14.9,74.62870901
56,Russell,Alabama,4368,8594.364867,21566.0,18903.0,2663.0,12.3,73.54335097
57,St Clair,Alabama,4011,4889.197689,,,,,
