,COUNTY,STATE,Crime_Count,Crime_rate, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012,Age
0,Autauga,Alabama,3916,7171.63577759871,"25,740","23,961","1,779",6.9,75.56609112
1,Baldwin,Alabama,10899,5813.823232888989,"84,414","78,065","6,349",7.5,78.16067583
2,Barbour,Alabama,1043,4079.637017914418,"9,362","8,283","1,079",11.5,75.44672270000001
3,Bibb,Alabama,897,3924.399527497047,"8,798","8,047",751,8.5,74.03317286
4,Blount,Alabama,2948,5090.745825346665,"24,960","23,244","1,716",6.9,76.4079113
5,Bullock,Alabama,448,4232.804232804233,"4,736","4,245",491,10.4,73.96634353
6,Butler,Alabama,1462,7051.560314474509,"9,088","8,039","1,049",11.5,73.60423946
7,Calhoun,Alabama,12068,10203.771032383527,"49,649","45,252","4,397",8.9,74.21675371
8,Chambers,Alabama,3079,9035.950110051355,"15,140","13,646","1,494",9.9,73.89116744
9,Cherokee,Alabama,2258,8630.838620900542,"11,268","10,363",905,8.0,75.20597669
10,Chilton,Alabama,3044,6907.0363731251855,"19,383","17,982","1,401",7.2,74.45248777
11,Choctaw,Alabama,196,1507.6923076923074,"4,791","4,297",494,10.3,75.20649351
12,Clarke,Alabama,1453,5709.906865249342,"8,374","7,116","1,258",15.0,75.58589113
13,Clay,Alabama,404,2902.715907457968,"5,413","4,905",508,9.4,75.27298782
14,Cleburne,Alabama,607,4075.193017791205,"5,838","5,358",480,8.2,74.57544841
15,Coffee,Alabama,2721,5363.7958564134915,"20,612","19,159","1,453",7.0,76.54320246
16,Colbert,Alabama,4710,8605.726188083536,"24,026","21,922","2,104",8.8,75.30628945
17,Conecuh,Alabama,976,7417.540659674722,"4,635","4,082",553,11.9,74.05308328
18,Coosa,Alabama,492,5510.752688172043,"4,445","4,029",416,9.4,75.31946047
19,Covington,Alabama,2217,5801.994190154667,"16,345","14,978","1,367",8.4,75.32711105
20,Crenshaw,Alabama,618,4595.478881618084,"6,251","5,732",519,8.3,74.36507148
21,Cullman,Alabama,4520,5589.977615355125,"35,568","32,835","2,733",7.7,75.32668391
22,Dale,Alabama,3059,6088.167976913126,"21,370","19,781","1,589",7.4,76.36560647
23,Dallas,Alabama,5354,12306.348549625336,"16,746","14,583","2,163",12.9,72.32547591
24,De Kalb,Alabama,4099,5719.907342803717,,,,,
25,Elmore,Alabama,4708,5849.6098603449145,"36,629","34,087","2,542",6.9,76.10439917
26,Escambia,Alabama,2792,7299.728090357666,"14,732","13,374","1,358",9.2,74.25384964
27,Etowah,Alabama,9528,9767.89961453293,"44,232","40,589","3,643",8.2,73.90508047
28,Fayette,Alabama,443,2567.9670743725,"6,503","5,943",560,8.6,74.22840582
29,Franklin,Alabama,1807,5644.758215669123,"13,976","12,806","1,170",8.4,73.47142845
30,Geneva,Alabama,1359,5054.111346647328,"11,274","10,421",853,7.6,75.63554192
31,Greene,Alabama,475,5712.56764882742,"3,125","2,701",424,13.6,74.04254990000001
32,Hale,Alabama,337,2176.580766001421,"6,212","5,499",713,11.5,74.14562491
33,Henry,Alabama,825,4719.139686534722,"7,030","6,447",583,8.3,75.82376518
34,Houston,Alabama,8168,7947.071414672116,"46,054","42,578","3,476",7.5,76.79583367
35,Jackson,Alabama,3208,6171.485735172467,"23,731","21,695","2,036",8.6,74.32197057
36,Jefferson,Alabama,73774,11188.11761066188,"316,511","293,020","23,491",7.4,75.28042274
37,Lamar,Alabama,331,2303.730512249443,"5,806","5,369",437,7.5,74.97380064
38,Lauderdale,Alabama,5117,5493.054511883547,"43,409","40,084","3,325",7.7,76.66297817
39,Lawrence,Alabama,1437,4273.860155250871,"14,391","13,094","1,297",9.0,74.48818241
40,Lee,Alabama,8801,6109.938629863097,"68,918","64,247","4,671",6.8,77.08809532
41,Limestone,Alabama,3469,4047.274593989173,"38,990","36,311","2,679",6.9,77.17121514
42,Lowndes,Alabama,671,6596.539520251671,"4,081","3,452",629,15.4,72.73346979
43,Macon,Alabama,2897,13622.043541637275,"8,286","7,397",889,10.7,73.10945248
44,Madison,Alabama,29603,8669.105093461641,"170,209","158,399","11,810",6.9,77.9885122
45,Marengo,Alabama,1239,6076.508092202061,"7,650","6,873",777,10.2,74.82136155
46,Marion,Alabama,1465,4758.656532189957,"12,451","11,340","1,111",8.9,74.67952869
47,Marshall,Alabama,5512,6405.652593289869,"40,686","37,523","3,163",7.8,74.50341768
48,Mobile,Alabama,40281,9724.23732537002,"188,626","171,312","17,314",9.2,74.84976932
49,Monroe,Alabama,1370,6445.238991343621,"7,971","6,971","1,000",12.5,74.97903082
50,Montgomery,Alabama,27228,11687.642725914731,"107,320","98,666","8,654",8.1,76.04588319
51,Morgan,Alabama,8372,6951.467596628887,"57,410","52,931","4,479",7.8,76.13344542
52,Perry,Alabama,0,,"3,683","3,192",491,13.3,72.52777203
53,Pickens,Alabama,512,2719.065321295805,"7,467","6,709",758,10.2,74.66523837
54,Pike,Alabama,2595,7852.4525675553,"15,017","13,819","1,198",8.0,74.96275118
55,Randolph,Alabama,1487,6720.2964703755615,"9,143","8,304",839,9.2,75.00002159
56,Russell,Alabama,5492,10129.290470130398,"24,911","22,725","2,186",8.8,74.05850641
57,St Clair,Alabama,3515,4148.1289165299695,,,,,
58,Shelby,Alabama,8996,4542.700169669548,"105,458","100,158","5,300",5.0,79.22453318
59,Sumter,Alabama,764,5726.27791935242,"5,417","4,848",569,10.5,74.82248237
60,Talladega,Alabama,7488,9132.598302273393,"35,013","31,731","3,282",9.4,74.06310815
61,Tallapoosa,Alabama,2728,6695.300036814334,"18,441","16,850","1,591",8.6,74.98272265
62,Tuscaloosa,Alabama,16389,8277.147315949758,"95,340","88,683","6,657",7.0,75.85325777
63,Walker,Alabama,6175,9226.194922978082,"26,574","24,136","2,438",9.2,71.69467164
64,Washington,Alabama,590,3388.078557482485,"6,875","6,054",821,11.9,74.90057353
65,Wilcox,Alabama,397,3443.7890353920893,"2,883","2,308",575,19.9,72.54210423
66,Winston,Alabama,1406,5756.397134083931,"9,607","8,647",960,10.0,74.52505334
67,Aleutians East,Alaska ,0,,,,,,
68,Aleutians West,Alaska ,148,3375.142531356899,,,,,
69,Anchorage,Alaska ,26518,8864.65670264723,,,,,
70,Bethel,Alaska ,372,5910.390848427071,,,,,
71,Bristol Bay,Alaska ,90,8637.236084452974,,,,,
72,Dillingham,Alaska ,242,10004.133939644482,,,,,
73,Fairbanks North Star,Alaska ,3469,10025.142328699823,,,,,
74,Haines,Alaska ,64,2475.8220502901354,,,,,
75,Juneau,Alaska ,2437,7486.25318711025,,,,,
76,Kenai Peninsula,Alaska ,1755,9003.693823106916,,,,,
77,Ketchikan Gateway,Alaska ,705,8579.773640014604,,,,,
78,Kodiak Island,Alaska ,753,11891.977258370183,,,,,
79,Lake and Peninsula,Alaska ,0,,,,,,
80,Matanuska-Susitna,Alaska ,1362,9467.537884053942,,,,,
81,Nome,Alaska ,136,3601.694915254237,,,,,
82,North Slope,Alaska ,353,3670.201705136203,,,,,
83,Northwest Arctic,Alaska ,578,17336.532693461308,,,,,
84,Prince of Wales-Outer Ketchikan,Alaska ,62,4944.178628389154,,,,,
85,Sitka,Alaska ,310,3421.633554083885,,,,,
86,Skagway-Hoonah-Angoon,Alaska ,42,4439.746300211416,,,,,
87,Southeast Fairbanks,Alaska ,0,,,,,,
88,Valdez-Cordova,Alaska ,348,5456.255879586077,,,,,
89,Wade Hampton,Alaska ,0,,,,,,
90,Wrangell-Petersburg,Alaska ,316,5836.719615810861,,,,,
91,Yakutat,Alaska ,0,,,,,,
92,Yukon-Koyukuk,Alaska ,0,,,,,,
93,Apache,Arizona,995,1428.9817607353152,"22,806","18,482","4,324",19.0,74.5812136
94,Cochise,Arizona,8706,6529.516323790811,"53,898","49,027","4,871",9.0,78.75641183
95,Coconino,Arizona,9507,6991.520749527501,"71,032","64,922","6,110",8.6,79.17445989
96,Gila,Arizona,2067,4578.073089700996,"20,923","18,786","2,137",10.2,76.507009
97,Graham,Arizona,1249,4473.816175943836,"14,472","13,242","1,230",8.5,77.46274773
98,Greenlee,Arizona,368,4229.885057471264,"3,553","3,261",292,8.2,78.16726363
99,La Paz,Arizona,1388,8195.075869398359,"8,137","7,441",696,8.6,80.40176492
100,Maricopa,Arizona,304734,7768.685721744336,"1,895,634","1,757,601","138,033",7.3,79.98646223
101,Mohave,Arizona,14906,7286.895223382983,"77,570","69,021","8,549",11.0,75.28490735
102,Navajo,Arizona,5674,5226.121396334162,"42,957","36,890","6,067",14.1,75.63577081
103,Pima,Arizona,56972,5695.098508650308,"462,896","428,796","34,100",7.4,79.03509732
104,Pinal,Arizona,20811,5444.613335914669,"148,689","135,995","12,694",8.5,79.83901732
105,Santa Cruz,Arizona,1612,3410.3410341034105,"20,121","17,014","3,107",15.4,81.73493098
106,Yavapai,Arizona,10117,4723.133878926802,"92,384","84,442","7,942",8.6,78.91488003
107,Yuma,Arizona,11517,5755.622188905547,"93,806","71,429","22,377",23.9,80.40176492
108,Arkansas,Arkansas,1833,9665.682345496729,"9,913","9,044",869,8.8,74.61418479
109,Ashley,Arkansas,1193,5479.0116652888755,"9,298","8,158","1,140",12.3,74.91456084
110,Baxter,Arkansas,2557,6132.776898354679,"16,373","14,994","1,379",8.4,76.94173327
111,Benton,Arkansas,10992,4812.188074599422,"110,768","104,109","6,659",6.0,79.41379679
112,Boone,Arkansas,2475,6654.656915465691,"16,523","15,264","1,259",7.6,77.37706694
113,Bradley,Arkansas,495,4294.638209266007,"4,371","3,886",485,11.1,74.63490437
114,Calhoun,Arkansas,100,1936.4833462432223,"2,511","2,282",229,9.1,75.76364757
115,Carroll,Arkansas,1549,5609.067207415991,"12,479","11,690",789,6.3,77.99641614
