STATE,COUNTY,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009, Civilian_labor_force_2010 , Employed_2010 , Unemployed_2010 ,Unemployment_rate_2010, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014
Alabama,Autauga,24703,22301,2402,9.7,"25,713","23,431","2,282",8.9,"25,836","23,677","2,159",8.4,"25,740","23,961","1,779",6.9,"25,810","24,205","1,605",6.2,"25,602","24,107","1,495",5.8
Alabama,Baldwin,82451,74403,8048,9.8,"83,459","75,120","8,339",10,"85,045","77,418","7,627",9,"84,414","78,065","6,349",7.5,"85,280","79,626","5,654",6.6,"86,415","81,115","5,300",6.1
Alabama,Barbour,10003,8572,1431,14.3,"10,221","8,959","1,262",12.3,"9,849","8,712","1,137",11.5,"9,362","8,283","1,079",11.5,"9,099","8,168",931,10.2,"8,848","7,916",932,10.5
Alabama,Bibb,8742,7581,1161,13.3,"8,934","7,914","1,020",11.4,"8,933","7,996",937,10.5,"8,798","8,047",751,8.5,"8,705","8,016",689,7.9,"8,562","7,945",617,7.2
Alabama,Blount,26480,23832,2648,10,"24,906","22,460","2,446",9.8,"25,123","22,939","2,184",8.7,"24,960","23,244","1,716",6.9,"24,887","23,325","1,562",6.3,"24,535","23,032","1,503",6.1
Alabama,Bullock,3739,3156,583,15.6,"4,941","4,356",585,11.8,"4,833","4,272",561,11.6,"4,736","4,245",491,10.4,"4,778","4,331",447,9.4,"4,733","4,315",418,8.8
Alabama,Butler,9104,7615,1489,16.4,"9,261","7,998","1,263",13.6,"9,188","8,042","1,146",12.5,"9,088","8,039","1,049",11.5,"9,147","8,206",941,10.3,"9,272","8,480",792,8.5
Alabama,Calhoun,53925,47929,5996,11.1,"51,559","45,699","5,860",11.4,"51,268","45,963","5,305",10.3,"49,649","45,252","4,397",8.9,"48,405","44,163","4,242",8.8,"47,257","43,484","3,773",8
Alabama,Chambers,14650,11777,2873,19.6,"14,754","12,554","2,200",14.9,"15,200","13,380","1,820",12,"15,140","13,646","1,494",9.9,"15,275","14,058","1,217",8,"15,307","14,282","1,025",6.7
Alabama,Cherokee,11758,10384,1374,11.7,"11,464","10,245","1,219",10.6,"11,476","10,364","1,112",9.7,"11,268","10,363",905,8,"11,403","10,649",754,6.6,"11,390","10,729",661,5.8
Alabama,Chilton,19445,17375,2070,10.6,"19,462","17,464","1,998",10.3,"19,539","17,753","1,786",9.1,"19,383","17,982","1,401",7.2,"19,359","18,090","1,269",6.6,"19,102","17,906","1,196",6.3
Alabama,Choctaw,5134,4442,692,13.5,"4,860","4,216",644,13.3,"4,764","4,138",626,13.1,"4,791","4,297",494,10.3,"4,703","4,270",433,9.2,"4,495","4,090",405,9
Alabama,Clarke,10381,8664,1717,16.5,"9,108","7,300","1,808",19.9,"8,843","7,181","1,662",18.8,"8,374","7,116","1,258",15,"8,285","7,145","1,140",13.8,"8,157","7,164",993,12.2
Alabama,Clay,5643,4703,940,16.7,"5,851","5,005",846,14.5,"5,598","4,935",663,11.8,"5,413","4,905",508,9.4,"5,393","4,943",450,8.3,"5,513","5,119",394,7.1
Alabama,Cleburne,6514,5851,663,10.2,"6,033","5,429",604,10,"5,939","5,365",574,9.7,"5,838","5,358",480,8.2,"5,830","5,383",447,7.7,"5,855","5,469",386,6.6
