STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012,Crime_Count,Crime_rate
Alabama,Autauga,318.2729188,81.95516354,2.222972733,2.583098512,75.56609112,"25,740","23,961","1,779",6.9,3916,7171.635778
Alabama,Baldwin,270.03068219999994,52.76692092,2.098048504,1.291171429,78.16067583,"84,414","78,065","6,349",7.5,10899,5813.823233
Alabama,Barbour,255.31335099999998,68.67178789,4.425094715,2.103539901,75.44672270000002,"9,362","8,283","1,079",11.5,1043,4079.637018
Alabama,Bibb,373.6395928,82.76745659,1.522422425,2.681019259,74.03317286,"8,798","8,047",751,8.5,897,3924.3995270000005
Alabama,Blount,300.1978959,84.15781692,1.281335173,1.838241477,76.4079113,"24,960","23,244","1,716",6.9,2948,5090.745825
Alabama,Bullock,326.0475875,51.14110737,4.384051267,2.929316572,73.96634353,"4,736","4,245",491,10.4,448,4232.804233
Alabama,Butler,372.30244039999997,72.39513059,3.6130267160000002,1.8457564219999998,73.60423946,"9,088","8,039","1,049",11.5,1462,7051.560314
Alabama,Calhoun,352.397472,80.93809658,2.1251353159999997,2.032322918,74.21675371,"49,649","45,252","4,397",8.9,12068,10203.77103
Alabama,Chambers,332.2996231,81.61575984,3.8802932439999998,2.506999095,73.89116744,"15,140","13,646","1,494",9.9,3079,9035.95011
Alabama,Cherokee,293.55342989999997,87.87246205,1.249673731,1.571695087,75.20597669,"11,268","10,363",905,8.0,2258,8630.838620999999
Alabama,Chilton,351.04184110000006,87.70501237,1.294961872,2.24173679,74.45248777,"19,383","17,982","1,401",7.2,3044,6907.036373000001
Alabama,Choctaw,360.173192,59.12490833,2.540904462,1.6711171759999999,75.20649351,"4,791","4,297",494,10.3,196,1507.692308
Alabama,Clarke,309.2286524,67.86024026,2.373821225,1.5864393980000002,75.58589113,"8,374","7,116","1,258",15.0,1453,5709.906865
Alabama,Clay,380.9792188,73.89207818,1.395730902,1.998697561,75.27298782,"5,413","4,905",508,9.4,404,2902.7159070000002
Alabama,Cleburne,348.7289936,87.71656145,1.18963179,2.237892944,74.57544841,"5,838","5,358",480,8.2,607,4075.193018
