STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Crime_rate,Total; Estimate;,Median income (dollars); Estimate;
Alabama,Baldwin,277.4019978,54.3040296,2.64383471,1.374905778,77.64190155,82451.0,74403.0,8048.0,9.8,5161.599661,74477,48487
Alabama,Calhoun,374.7165665,82.23094931,3.001320768,2.186703357,73.94425187,53925.0,47929.0,5996.0,11.1,11037.62428,46535,36527
Alabama,Cullman,363.485138,85.36456793,1.617297119,1.7809719919999998,75.22678383,38537.0,34585.0,3952.0,10.3,5151.437653,31055,36628
Alabama,Elmore,283.7473285000001,83.39702928,2.86765494,2.371073057,75.84782592,36392.0,32944.0,3448.0,9.5,5101.057506,24607,51142
Alabama,Etowah,379.0495357,92.17918372,2.457942734,1.835908314,73.45328426,44993.0,39838.0,5155.0,11.5,7918.272937999999,41422,39118
Alabama,Houston,310.4587128,67.18337186,4.136704524,1.3124873,76.39751552,45903.0,41638.0,4265.0,9.3,10494.35897,37359,38342
Alabama,Jefferson,306.6556591,60.84184161,5.745854745,2.151283709,74.83030219,307018.0,274011.0,33007.0,10.8,13897.48223,270513,43279
Alabama,Lauderdale,267.3219582,72.80709808,1.757772705,1.252821142,76.46028842,43432.0,38804.0,4628.0,10.7,6318.877437,36730,38798
Alabama,Lee,290.3574278,66.18906274,3.717894143,1.538024061,76.83404269,64893.0,58787.0,6106.0,9.4,9237.344337,56150,36925
Alabama,Limestone,311.2876174999999,63.46305403,3.033088143,1.582416724,76.94866708,38288.0,34543.0,3745.0,9.8,4233.634878,26522,46065
Alabama,Madison,240.3688465,60.81519375,2.682280305,2.136853396,77.65985713,168887.0,155310.0,13577.0,8.0,8946.157386,128729,57617
Alabama,Marshall,354.5654038,96.40558076,1.74912222,2.200877332,74.28797894,40743.0,36604.0,4139.0,10.2,8293.151173999999,32651,37284
Alabama,Mobile,334.392562,64.30598247,7.116246993,1.217273691,74.58457896,186825.0,165725.0,21100.0,11.3,11287.96329,162613,40047
Alabama,Montgomery,281.9055695,64.43180173,7.675231344,2.843951977,75.53875629,105106.0,94078.0,11028.0,10.5,11397.83328,89732,41452
Alabama,Morgan,330.7001617,70.80327089,1.849849612,3.178444502,76.05365825,56388.0,50294.0,6094.0,10.8,7759.489993000001,46465,38890
