STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2010 , Employed_2010 , Unemployed_2010 ,Unemployment_rate_2010,Crime_Count,Crime_rate,Total; Estimate;,Median income (dollars); Estimate
Alabama,Baldwin,279.9784532,55.12052871,2.274115419,1.265390646,77.79579474,"83,459","75,120","8,339",10.0,9099,4992.181713,68096,47502
Alabama,Calhoun,371.1881195,82.19681927,2.554777219,1.997312372,74.11151762,"51,559","45,699","5,860",11.4,10334,8715.379685,45862,36675
Alabama,Cullman,352.4025079,83.93129939,1.411824576,1.793355164,75.4808837,"35,959","32,202","3,757",10.4,4234,5265.776186,29666,35786
Alabama,Elmore,281.1109222,84.13864704,2.578029631,2.491135052,75.94841836,"36,683","33,362","3,321",9.1,1442,1818.342307,28860,52222
Alabama,Etowah,364.1838191,90.11532587,2.187830479,1.897462771,73.85992697,"44,000","39,193","4,807",10.9,9190,8800.153213,39731,35897
Alabama,Houston,301.7444307,66.72217136,3.550868903,1.275441682,76.70386659,"46,414","42,170","4,244",9.1,8702,8759.021228,40206,38579
Alabama,Jefferson,301.1114572,62.39260604,5.549146092999999,2.133554747,75.11368826,"318,520","285,627","32,893",10.3,77762,12243.90182,257219,41583
Alabama,Lauderdale,262.04017430000005,70.80163106,1.552049844,1.263578109,76.55454754,"43,596","39,193","4,403",10.1,4871,5254.074577,38644,38661
Alabama,Lee,282.0212683000001,67.1273215,3.05398325,1.517449267,77.16627268,"66,764","60,758","6,006",9.0,7573,5399.758997,55073,39381
Alabama,Limestone,301.0885465,63.782374,2.662776709,1.560853447,77.14737916,"38,321","34,625","3,696",9.6,3162,3819.670943,31395,50325
Alabama,Madison,236.1174683,61.84953437,2.160390095,2.162726361,77.78592151,"169,833","155,656","14,177",8.3,29334,8848.735313,129367,53539
Alabama,Marshall,338.3077555000001,98.58837135,1.606243021,2.184812199,74.56592733,"41,637","37,640","3,997",9.6,6241,6709.381954,35024,39343
Alabama,Mobile,325.4051529,63.00223598,6.110211189,1.258885528,74.95242566,"192,730","170,943","21,787",11.3,45502,11017.64683,153676,39998
Alabama,Montgomery,276.3385412,63.26722193,7.302938546,2.778540894,75.93368939,"108,753","97,892","10,861",10.0,25130,10956.43151,88176,41946
Alabama,Morgan,337.3561951000001,74.10774559,1.576586878,3.274864029,75.91841837,"57,817","51,600","6,217",10.8,8332,6972.968448999999,45606,45513
Alabama,Shelby,235.1182625,54.99962566,1.2348291809999998,1.871071679,79.18368881,"102,372","95,110","7,262",7.1,8284,4261.360714,72588,65673
Alabama,Talladega,337.3744168,82.90798674,2.84785313,2.143147746,74.23266518,"35,129","30,389","4,740",13.5,6854,8328.978868,30119,34488
Alabama,Tuscaloosa,302.1643418999999,67.31523482,2.396677645,1.5225079680000002,75.8599936,"93,915","85,273","8,642",9.2,17912,9201.874075,66583,43450
Alabama,Walker,343.863188,110.2791077,1.894329169,2.12965381,72.11808007,"27,279","23,815","3,464",12.7,3759,5608.522448,23830,35150
