STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011,Crime_Count,Crime_rate,Total; Estimate;,Median income (dollars); 
Alabama,Baldwin,282.0500114,55.15409803,2.162861207,1.263003969,77.79993727,"85,045","77,418","7,627",9.0,10546,5758.373284,74460,50900
Alabama,Calhoun,363.3765778,83.32280455,2.296729126,2.189918972,74.23818199,"51,268","45,963","5,305",10.3,11413,9579.245109,44722,39037
Alabama,Cullman,356.7285495,85.78165582,1.312174724,1.84958272,75.33762340000001,"35,669","32,279","3,390",9.5,4579,5667.57021,31954,40054
Alabama,Elmore,275.3734706,84.70042384,2.365708966,2.415877248,76.20645815,"36,597","33,521","3,076",8.4,4116,5165.33852,28469,57405
Alabama,Etowah,357.2550193,93.90401724,1.89494181,1.888812835,73.84189864,"44,722","40,238","4,484",10.0,10294,9810.069282,40443,33313
Alabama,Houston,296.6490864,66.29712502,3.57882518,1.351920424,76.81466967,"46,778","42,747","4,031",8.6,7971,7811.948724,39118,40336
Alabama,Jefferson,297.7324786000001,62.09108878,4.662789723,2.112580367,75.14456531,"319,652","289,916","29,736",9.3,79282,12034.12213,255059,41976
Alabama,Lauderdale,265.3078498,72.84719124,1.390469922,1.305000699,76.49666981,"44,048","40,026","4,022",9.1,4161,4466.748967,39331,40121
Alabama,Lee,277.7255779,67.51566716,2.780159191,1.468551529,77.21452242,"68,316","62,812","5,504",8.1,9774,6935.751692,56274,42965
Alabama,Limestone,305.9037365000001,64.55133166,2.71379779,1.720177892,77.04310429,"38,990","35,631","3,359",8.6,2482,2983.890358,32648,46339
Alabama,Madison,233.9966101,60.95316726,2.012242418,2.136716409,78.04909439,"171,726","157,512","14,214",8.3,28175,8374.898193,133173,54444
Alabama,Marshall,341.9321498,101.2764203,1.403070801,2.157155832,74.52507561,"41,085","37,216","3,869",9.4,7960,8516.374763,33750,39245
Alabama,Mobile,336.4813181,64.54221284,5.682269117000001,1.3957715169999998,74.92326655,"193,851","172,971","20,880",10.8,45048,10855.46291,157783,42372
Alabama,Montgomery,271.4160965,63.14705203,6.258813043,2.761027615,76.01167625,"109,092","98,491","10,601",9.7,24411,10591.97195,86531,44185
Alabama,Morgan,322.9670402,75.12259256,1.420526496,3.090227999,76.13844585,"58,319","52,810","5,509",9.4,7159,5962.60359,45310,43590
Alabama,Shelby,236.4607183,56.26333465,1.175395681,1.897316576,79.03916838,"104,214","97,727","6,487",6.2,8337,4268.07417,74648,65815
Alabama,Talladega,343.5464988,84.78226876,2.668171478,2.3001053330000003,73.96018283,"35,293","31,192","4,101",11.6,7670,9275.944223,32044,30367
Alabama,Tuscaloosa,311.5588617,69.91680994,2.362925062,1.5461851359999998,75.62794702,"95,463","87,532","7,931",8.3,16208,8286.595124,67669,42056
Alabama,Walker,357.0460406,113.4735725,1.7631616209999998,2.227318967,71.71524196,"27,092","24,034","3,058",11.3,3459,13657.36171,26204,34343
