STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013,Crime_Count,Crime_rate,Total; Estimate; ,Median income (dollars); Estimate;
Alabama,Baldwin,280.70467030000003,54.6091456,2.059402149,1.295183454,77.87371963,"85,280","79,626","5,654",6.6,10523,5443.250122,70259,44874
Alabama,Calhoun,363.8190816,84.19178823,2.057972136,2.028671242,74.11418529,"48,405","44,163","4,242",8.8,10002,8556.543163,43851,36205
Alabama,Cullman,347.74958139999984,87.11416067,1.182611081,1.848538333,75.30500169,"35,783","33,402","2,381",6.7,3535,4396.2740490000015,32225,39936
Alabama,Elmore,275.491326,90.17222407,2.36115251,2.758047079,75.96957001,"36,930","34,658","2,272",6.2,5013,6190.95254,28292,50699
Alabama,Etowah,357.5910232,98.26372075,1.761006706,1.917934431,73.76693671,"43,862","40,538","3,324",7.6,9485,9754.918598,40135,39459
Alabama,Houston,305.43504900000005,68.72584409,3.430209301,1.341559523,76.56580255,"45,711","42,553","3,158",6.9,7453,7171.862972,40448,39006
Alabama,Jefferson,303.8624127,60.94305276,4.601756663,2.212945104,75.17860708,"315,405","294,426","20,979",6.7,69431,10874.04581,257398,45013
Alabama,Lauderdale,263.722317,74.1351763,1.25649711,1.293924405,76.48111257,"43,150","40,083","3,067",7.1,5504,5952.71571,39433,43891
Alabama,Lee,289.9750302,70.85558979999998,2.883646492,1.592870793,76.66401228,"70,523","66,379","4,144",5.9,8104,8903.92898,56840,46068
Alabama,Limestone,295.0374288000001,62.91519605,2.420282902,1.637961704,77.47898494,"39,435","36,969","2,466",6.3,3782,4241.336772,32879,48639
Alabama,Madison,226.8912903,61.24924073,1.906535359,2.279846145,78.11511279,"171,363","160,551","10,812",6.3,29627,8579.329915999999,137072,58076
Alabama,Marshall,341.7710967,103.3828069,1.253812641,2.204806904,74.44765405,"40,614","37,841","2,773",6.8,5835,6730.724865000001,33738,38116
Alabama,Mobile,340.1570671,65.39041923,5.6345748,1.4333245119999998,74.9742147,"187,046","171,088","15,958",8.5,42324,10221.46014,148025,42944
Alabama,Montgomery,273.4446105,64.76964692,6.489394598,2.893773757,75.90237711,"106,360","98,613","7,747",7.3,18654,8102.402834999999,87996,44675
Alabama,Morgan,319.999383,74.89447399,1.306975488,3.2016091760000003,76.26809109,"57,001","53,090","3,911",6.9,7161,5936.0882,46779,43169
Alabama,Shelby,229.4669842,54.83771280000001,1.096893547,2.000093376,79.49284335,"107,004","102,054","4,950",4.6,8885,4437.33051,73694,67800
Alabama,Talladega,345.2754662,90.46511678,2.381336089,2.360282757,73.81398155,"35,771","32,700","3,071",8.6,7600,9307.566071,31598,37719
Alabama,Tuscaloosa,304.45218680000005,68.77255387,1.988857835,1.484351695,75.89501744,"95,678","89,602","6,076",6.4,16259,8138.818948,69291,46538
Alabama,Walker,363.3062613,115.5860017,1.567928701,2.207514012,71.56435267,"26,364","24,136","2,228",8.5,5048,7769.859471,24963,34810
